vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 4]",10,2,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,4"
"[1, 1, 1, 1, 1, 2, 3]",10,2,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3"
"[1, 1, 1, 1, 1, 2, 4]",11,1,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,4"
"[1, 1, 1, 1, 1, 3, 3]",11,1,1,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 3, 4]",12,0,2,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,4"
"[1, 1, 1, 1, 2, 2, 2]",10,2,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,2,2"
"[1, 1, 1, 1, 2, 2, 3]",11,1,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,2,3"
"[1, 1, 1, 1, 2, 2, 4]",12,0,2,True,False,True,True,False,False,False,False,"1,1,2,2|1,1,4"
"[1, 1, 1, 1, 2, 3, 3]",12,0,2,True,False,True,True,False,False,False,False,"1,1,1,3|1,2,3"
"[1, 1, 1, 1, 3, 4, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,1,3|1,4|1,4"
"[1, 1, 1, 1, 4, 4, 4]",16,2,1,True,True,True,False,False,False,False,False,"1,1,4|1,4|1,4"
"[1, 1, 1, 2, 2, 2, 2]",11,1,1,True,False,True,True,False,False,False,False,"1,1,1,2|2,2,2"
"[1, 1, 1, 2, 2, 2, 3]",12,0,2,True,False,True,True,False,False,False,False,"1,1,1,3|2,2,2"
"[1, 1, 1, 2, 2, 4, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,2,2|1,4|1,4"
"[1, 1, 1, 2, 3, 3, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,1,3|2,3|1,4"
"[1, 1, 1, 2, 3, 4, 4]",16,2,1,True,True,True,False,False,False,False,False,"1,1,4|2,3|1,4"
"[1, 1, 1, 2, 4, 4, 4]",17,1,2,True,True,True,False,False,False,False,False,"1,1,4|1,4|2,4"
"[1, 1, 1, 3, 3, 3, 3]",15,3,0,True,False,True,True,False,False,False,False,"1,3,3,3|1,1,3"
"[1, 1, 1, 3, 3, 3, 4]",16,2,1,True,True,True,False,False,False,False,False,"1,1,3|1,4|3,3"
